empty_slots,free_bikes,latitude,longitude,name,category,rating,popularity,total_bikes
7.0,3.0,24.43,54.58,Saddle,Food Truck,8.5,0.9958541889415864,10.0
7.0,3.0,24.43,54.58,Ushk Cafe,Café,6.3,0.7490230806717041,10.0
7.0,3.0,24.44,54.58,Food Trucks,Food Truck,8.8,0.9950892680277218,10.0
7.0,2.0,24.44,54.59,Ibsais Sweets,Dessert Shop,8.2,0.9051970504180926,9.0
7.0,2.0,24.44,54.6,Bedashing Beauty Lounge,Nail Salon,7.9,0.9325406625974668,9.0
7.0,2.0,24.44,54.6,"Bedashing Beauty Lounge, Khalifa A",Nail Salon,7.7,0.7731362241117736,9.0
7.0,2.0,24.44,54.6,Espression Lavazza,Coffee Shop,8.0,0.956920580037399,9.0
10.0,4.0,24.45,54.33,Eggcellent Cafe,Café,8.4,0.9748923594361516,14.0
10.0,4.0,24.45,54.33,Napo Ristorante,Italian Restaurant,8.5,0.9888898122577304,14.0
10.0,4.0,24.45,54.33,Abu Tafish,Seafood Restaurant,7.2,0.9758951400282758,14.0
10.0,4.0,24.45,54.33,OZO Restaurant,Japanese Restaurant,7.3,0.9862202477084272,14.0
10.0,4.0,24.45,54.33,No. Fifty Seven Boutique Cafe,Café,6.6,0.9620214741215766,14.0
10.0,4.0,24.45,54.34,Brunch & Cake Marsa Al Bateen,Restaurant,7.9,0.9805974897475352,14.0
10.0,4.0,24.45,54.34,Market At Edition,Theme Restaurant,8.2,0.9867104012587103,14.0
10.0,4.0,24.45,54.34,Caffeino,Coffee Shop,7.9,0.9862056917071202,14.0
0.0,5.0,24.45,54.6,Al Muneera Beach Plaza,Plaza,8.3,0.9561796563525384,5.0
0.0,5.0,24.45,54.6,Meylas Emirati,Middle Eastern Restaurant,7.9,0.8390078679038916,5.0
0.0,5.0,24.45,54.6,Berri's Cafe,Pizzeria,7.6,0.8715379458772889,5.0
0.0,5.0,24.45,54.6,Leopold's of London Al Muneera,English Restaurant,7.2,0.3230780086793917,5.0
0.0,5.0,24.45,54.6,Beach,Beach,6.6,0.878911900645662,5.0
0.0,5.0,24.45,54.6,كوستا كوفي,Coffee Shop,6.6,0.918075009702572,5.0
0.0,5.0,24.45,54.6,La Brioche,Café,6.7,0.8451822319443955,5.0
0.0,5.0,24.45,54.6,Burger House,Burger Joint,6.0,0.4895388632113749,5.0
0.0,5.0,24.45,54.6,Kababs n kurries,Indian Restaurant,5.9,0.1289560032459513,5.0
10.0,0.0,24.45,54.61,Nando's,African Restaurant,7.9,0.962953815756977,10.0
10.0,0.0,24.45,54.61,Jones The Grocer - Al Muneera,Café,6.7,0.9371978971880182,10.0
10.0,0.0,24.45,54.61,Vasa Vasa,Café,8.8,0.8950005292312034,10.0
3.0,5.0,24.46,54.32,Horizon at Khalidiya Palace Rayhaan by Rotana,Buffet,7.5,0.8119817944466006,8.0
3.0,5.0,24.46,54.32,Cas' Castle,Speakeasy,7.4,0.1826200472779875,8.0
3.0,5.0,24.46,54.32,Khalidiya Palace Private Beach,Beach,7.7,0.8938715026637971,8.0
10.0,4.0,24.46,54.33,VOX Cinemas (ڤوكس سينما),Movie Theater,8.5,0.981194651236637,14.0
10.0,4.0,24.46,54.33,Nation Galleria,Shopping Plaza,8.4,0.998588716790742,14.0
5.0,3.0,24.46,54.33,Cafe Bateel,Café,8.3,0.9425960554634302,8.0
5.0,3.0,24.46,54.33,Teuscher,Dessert Shop,7.6,0.8955297604346752,8.0
7.0,7.0,24.46,54.33,Jarir Bookstore (مكتبة جرير),Bookstore,7.5,0.9419256959390324,14.0
7.0,7.0,24.46,54.33,Mado,Turkish Restaurant,7.9,0.9572734008397136,14.0
5.0,3.0,24.46,54.33,Lavazza Espression,Café,7.4,0.8825459549095015,8.0
5.0,3.0,24.46,54.33,Cafe Diego,Café,7.3,0.1535123310870409,8.0
6.0,5.0,24.46,54.33,The St. Regis Bar,Hotel Bar,8.4,0.9759729033623824,11.0
10.0,0.0,24.46,54.61,Local (لوكل),Café,8.3,0.9921320961083866,10.0
10.0,0.0,24.46,54.61,Andiamo! Bistro,Italian Restaurant,7.1,0.9428783121052816,10.0
10.0,0.0,24.46,54.61,Al Zeina Beach,Beach,8.6,0.981900292841266,10.0
10.0,0.0,24.46,54.62,Waitrose,Retail,7.6,0.9742087993508096,10.0
7.0,3.0,24.47,54.32,Hookah Lounge,Hookah Bar,8.4,0.9127474155876232,10.0
7.0,3.0,24.47,54.32,Bill's Farm,Turkish Restaurant,7.1,0.9531101153724024,10.0
7.0,3.0,24.47,54.32,Corniche Boardwalk,Beach,8.7,0.9632360723988286,10.0
7.0,3.0,24.47,54.32,Casper & Gambini's,Café,6.9,0.8763010267085347,10.0
5.0,3.0,24.47,54.33,Nation Riviera Beach Club,Beach,8.6,0.8529090075150831,8.0
7.0,7.0,24.47,54.33,Nation Riviera Beach Club,Beach,8.6,0.8529090075150831,14.0
5.0,3.0,24.47,54.33,St.Regis Private beach,Beach,8.4,0.9530395512119396,8.0
7.0,7.0,24.47,54.33,St.Regis Private beach,Beach,8.4,0.9530395512119396,14.0
5.0,3.0,24.47,54.33,Catch,Seafood Restaurant,9.0,0.931623328511449,8.0
7.0,7.0,24.47,54.33,Catch,Seafood Restaurant,9.0,0.931623328511449,14.0
10.0,20.0,24.47,54.34,Seattle's Best Coffee - Abu Dhabi Corniche,"Cafes, Coffee, and Tea Houses",7.7,0.8573545496242458,30.0
10.0,20.0,24.47,54.34,كولدستون كريمري,Ice Cream Parlor,7.7,0.9059026920227216,30.0
10.0,20.0,24.47,54.34,Cafe Sante,Café,7.3,0.1591927460043044,30.0
10.0,20.0,24.47,54.34,Nova Beach Cafe,Café,7.0,0.8928836044173164,30.0
10.0,20.0,24.47,54.34,Adco Gym,Sporting Goods Retail,7.7,0.6241399992943584,30.0
10.0,20.0,24.47,54.34,Shish Shawerma Corniche,Middle Eastern Restaurant,8.4,0.9748085947147443,30.0
10.0,20.0,24.47,54.34,Chagh Kabab,Turkish Restaurant,7.3,0.8912606287266698,30.0
10.0,20.0,24.47,54.34,Camacho Italian Restaurant & Sushi Bar,Italian Restaurant,7.5,0.8089122534664643,30.0
7.0,2.0,24.47,54.35,مطعم ومقصف الريان,Breakfast Spot,8.1,0.8511449035035106,9.0
3.0,5.0,24.47,54.35,مطعم ومقصف الريان,Breakfast Spot,8.1,0.8511449035035106,8.0
7.0,2.0,24.47,54.35,Qasmieh Al Fawal,Middle Eastern Restaurant,8.7,0.9801714709099248,9.0
3.0,5.0,24.47,54.35,Qasmieh Al Fawal,Middle Eastern Restaurant,8.7,0.9801714709099248,8.0
7.0,2.0,24.47,54.35,ملك الشاي,Coffee Shop,8.1,0.9372684613484812,9.0
3.0,5.0,24.47,54.35,ملك الشاي,Coffee Shop,8.1,0.9372684613484812,8.0
7.0,2.0,24.47,54.35,Arabisque,Hookah Bar,7.3,0.2387185548459937,9.0
3.0,5.0,24.47,54.35,Arabisque,Hookah Bar,7.3,0.2387185548459937,8.0
7.0,2.0,24.47,54.35,Shawarma Al Rannah,Shawarma Restaurant,7.4,0.9286596337720072,9.0
3.0,5.0,24.47,54.35,Shawarma Al Rannah,Shawarma Restaurant,7.4,0.9286596337720072,8.0
7.0,2.0,24.47,54.35,Sushi Central,Japanese Restaurant,7.2,0.877183078714321,9.0
3.0,5.0,24.47,54.35,Sushi Central,Japanese Restaurant,7.2,0.877183078714321,8.0
7.0,2.0,24.47,54.35,Al Afiya Bath & Saloon,Spa,8.6,0.9924849169107012,9.0
