name,category,latitude,longitude,rating,popularity
Vogue Fitness - Crossfit Yas,Sports and Recreation,24.466085,54.60954,8.2,0.9906502487386656
Stars N Bars,Bar,24.466085,54.60954,7.8,0.985040397981865
Cipriani Yas Island,Italian Restaurant,24.46713,54.609222,8.9,0.9770666478495572
Diablito,Italian Restaurant,24.465609,54.609099,7.1,0.8962706841195357
Iris Yas Island,Lounge,24.467122,54.609105,8.7,0.9586846840489716
Aquarium Restaurant,Seafood Restaurant,24.46601,54.609318,6.7,0.9276011713650637
Rozanah Restaurant,Lebanese Restaurant,24.466252,54.60939,6.1,0.1256747697844265
شاطئ ياس,Beach,24.461613,54.59178,8.9,0.9897329146526479
Stills Restaurant & Bar,Cocktail Bar,24.465204,54.597355,7.8,0.9783368027378895
Sundowners Pool,Beach,24.465447,54.597013,7.4,0.8733373319690929
Barouk,Middle Eastern Restaurant,24.465522,54.597235,6.9,0.9116889531806796
Belgian Cafe,Bar,24.467116,54.597993,8.7,0.9812652153970998
Yas Waterworld,Amusement Park,24.488814,54.60045,9.1,0.9960571203070866
Warner Bros. Plaza,Plaza,24.490863,54.599229,9.0,0.9881793088633959
Bronto Burgers and Ribs,Burger Joint,24.490753,54.600196,7.6,0.5830893553637296
Cartoon Junction Carosel,Amusement Park,24.491697,54.600547,8.2,0.45305986484417815
Fast And Furry-Ous,Amusement Park,24.491037,54.600438,6.7,0.9702703417910502
Wave Pool,Water Park,24.488228,54.600563,6.9,0.9220743860998836
Gotham City,Amusement Park,24.492858,54.601034,8.3,0.9481720783676839
Yas Links Golf Course,Golf Course,24.478201,54.599649,9.1,0.9846786210009785
Hickory's Sports Bar,Night Club,24.478293,54.59969,7.5,0.9526900419197611
Nowhere Cafe,Café,24.473937,54.602651,7.7,0.9922440265505118
"Yas Marina, Abu Dabi",Race Track,24.477337,54.606377,8.5,0.9908190305648317
After Race Concert,Music Venue,24.481299,54.606208,8.2,0.9840057865891053
Waitrose,Retail,24.456842,54.615568,7.6,0.9742087993508097
Local (لوكل),Café,24.455716,54.61472,8.3,0.9921320961083866
Andiamo! Bistro,Italian Restaurant,24.455557,54.614573,7.1,0.9428783121052817
Nando's,African Restaurant,24.454648,54.613861,7.9,0.962953815756977
Al Zeina Beach,Beach,24.456045,54.613061,8.6,0.9819002928412659
G Force,Amusement Park,24.485366,54.607557,8.6,0.985532796391476
Ferrari World Abu Dhabi,Amusement Park,24.48408,54.60739,8.8,0.9987436770085432
"RED Live Theater | Ferrari World, Abu Dhabi",Theater,24.485207,54.607824,8.0,0.93685031092441
Galleria Ferrari,Amusement Park,24.485701,54.60767,8.4,0.9951599164022656
Roller Coaster,Amusement Park,24.484889,54.608358,8.0,0.955574018195428
Yas Marina Circuit Main Grandstand,Race Track,24.485683,54.607851,8.2,0.9357334880207916
Driving with The Champion,Amusement Park,24.485475,54.607832,8.0,0.9312486561202246
Ferrari Store (متجر فيراري),Clothing Store,24.485683,54.607851,7.8,0.9761226156135526
Godiva,Chocolate Store,24.485908,54.608517,8.1,0.9465375125054475
Scuderia Challenge,Amusement Park,24.485207,54.607824,7.5,0.972970419129704
Blue Grill,American Restaurant,24.466212,54.599053,7.8,0.9682461277916946
